patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
AL833054	5.738950245	5.578003042	5.573809969	5.477648648	5.519282911	5.445745379	5.3956716	5.401262549	5.428239895	5.405845053	5.439506981	5.548977476	5.44134104
SENP3	5.590775981	5.619920215	5.714859948	5.949300932	6.087996525	5.839274178	5.932626804	6.038178987	5.829723469	5.894918013	5.534576188	5.986254029	5.683211158
PRSS53	5.526649063	5.98718535	6.493843406	5.744806398	6.006910653	6.142168596	6.699682019	5.717408507	5.936982701	6.073697507	6.534575156	6.427261407	6.215411083
C4orf17	5.350801012	5.004493294	5.30572898	5.307744876	5.281546846	5.229041052	5.400763399	5.523168699	5.351307682	5.207755496	5.39711072	5.187713689	5.191198024
C2orf49	7.652259043	6.970524561	6.949933121	6.946418378	8.023800291	7.255995333	7.15753196	7.302269703	6.600426129	6.874231806	6.79767224	6.912935015	6.955341538
ZNF514	5.927362929	7.953664502	6.435442822	6.926790355	6.537224921	6.850904803	6.763805809	6.171175517	6.090043492	6.624397464	7.737929357	6.698106057	7.285271428
FBRSL1	6.70731417	7.123996284	6.894226578	6.521336513	6.263901642	6.524921063	6.691326536	6.078246474	6.153012061	6.888091206	7.300443644	6.526256146	6.84158244
PDIA2	5.123742722	5.295204482	5.358266144	5.655512376	5.396853192	5.090714004	5.403838864	5.453683356	5.872392878	5.151850209	5.972915518	5.270303341	5.505923885
AA883814	5.335702103	5.573550351	5.362061143	5.460554413	5.53698886	5.4578791	5.50583246	5.567048072	5.553568007	5.283911962	5.732754502	5.595049565	5.331332711
CHCHD10	9.287337432	9.616391609	9.313057441	8.27096523	9.546952205	9.284163494	9.832103087	8.751247854	9.674507478	10.06642115	9.726646901	9.767443906	9.32465688
AI634196	5.465114157	5.353428792	5.300547801	5.446565685	5.47299716	5.433999512	5.440806882	5.396557152	5.27688211	5.457522534	5.306832678	5.29071895	5.196316009
BX104054	5.326839403	5.585985141	5.488393421	5.347144956	5.29068883	5.4217172	5.339829093	5.29621077	5.409297887	5.285248516	5.501712888	5.247127205	5.409064411
